848,1084
845,1072
842,1060
839,1048
836,1036
833,1025
830,1013
827,1001
823,989
820,977
817,965
814,954
811,942
808,930
805,918
802,906
799,895
796,883
793,871
790,859
787,847
784,835
781,824
778,812
775,800
